parent1 parent2 child
149.56 182.73 164.61
168.13 171.52 171.38
172.62 183.35 180.09
169.03 167.8 168.71
156.89 177.13 166.99
168.28 181.76 178.61
156.76 196.69 176.09
168.77 178.61 174.36
155.52 176.59 169.21
160.07 171.26 167.5
164.12 165.98 169.47
168.34 172.23 168.14
173.24 163.54 170.76
171.68 178.71 175.16
169.73 178.61 174.03
160.19 166.57 162.08
152.95 193.63 170.11
171.46 191 181.11
164.16 165.37 164.2
154.98 179.89 169.31
154.2 169.54 164.98
167.44 161.89 166.84
170.52 186.54 177.94
154.14 165.11 162.41
156.29 165.57 164.14
169.9 186.12 178.82
155.71 184.04 171.22
160.9 187.93 177.57
143.05 163.48 164.91
149.17 165.28 154.13
159.51 168.38 161.09
143.69 163.54 159.15
149.57 176.11 165.12
172.81 196.37 183.7
152.13 178.7 166.29
180.28 172.71 171.74
148.6 170.84 161.78
169.44 170.03 171.23
166.36 173.02 169.61
160.78 179.86 171.38
152.03 173.53 164.65
146.79 164.99 161.98
174.28 180.79 180.88
161.6 186.54 174.43
170.73 182.89 172
167.66 184.6 180.4
160.52 176.2 167.76
155.53 195.25 171.16
155.48 167.06 160
161.74 184.54 169.42
149.17 172.89 164.92
149.57 165.57 165.49
151.01 168.14 163.84
146.79 165.28 160.72
171.08 189.17 178.34
160.94 179.33 173.17
165.84 178.19 176.93
149.06 165.12 156.54
164.88 168.67 168.49
141.68 175.99 163.66
149.99 178.85 167
169.9 164.99 171.72
164.74 162.83 169.52
164.11 168.46 168.27
172.62 193.63 177.94
175.6 180.87 179.7
149.99 165.98 166.01
154.57 173.94 166.28
157.98 180.49 174.28
141.68 162.83 154.89
171.08 170.22 173.32
170.52 173.97 172.53
143.05 174.9 161.91
163.02 181.33 172.65
157.47 173.47 169.21
173.24 196.69 178.61
163 168.94 170.13
166.92 189.17 183.94
148.6 165.11 164.39
143.69 175.46 158.14
162.4 176.8 172.93
161.8 206.73 183.67
160.83 175.01 168.35
157.1 176.24 167.81
157.34 167.39 162.73
162.34 179.27 171.57
180.54 162.38 174.45
168.98 178.88 171.87
166.6 158.97 157.5
163.94 177.63 172.72
171.46 170.78 166.86
168.34 167.84 172.44
171.68 192.23 173.43
163.33 175.1 168.56
150.64 167.41 161.88
156.71 177.74 173.43
165.25 196.37 178.47
174.28 206.73 187.24
162.79 168.65 167.94
164.29 180.04 171.12
